epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8544.49,1.19558,0.83867,1.31162,0.85873,0.81973,0.87862,0.54213,1.22127,0.67676,1.38409,0.000411402,0.000411402,0.000411402
43,8745.75,1.20404,0.83657,1.30912,0.87702,0.8297,0.88523,0.54592,1.23635,0.66965,1.39091,0.000386582,0.000386582,0.000386582
44,8946.22,1.18984,0.82421,1.30736,0.85037,0.82362,0.87937,0.5471,1.22378,0.67111,1.3812,0.000361763,0.000361763,0.000361763
45,9146.36,1.18691,0.81802,1.29621,0.87074,0.82547,0.88466,0.54667,1.23229,0.67025,1.38254,0.000336943,0.000336943,0.000336943
46,9347.11,1.18186,0.80756,1.29986,0.87405,0.83122,0.88835,0.55201,1.22624,0.65403,1.38058,0.000312124,0.000312124,0.000312124
47,9547.95,1.16943,0.79559,1.29695,0.86662,0.82368,0.88249,0.54675,1.23294,0.66757,1.38485,0.000287304,0.000287304,0.000287304
48,9770.86,1.10879,0.62304,1.28117,0.86671,0.82954,0.8886,0.54719,1.21797,0.65365,1.38033,0.000262485,0.000262485,0.000262485
49,9972.07,1.0981,0.5967,1.27334,0.87448,0.83216,0.88849,0.55148,1.21839,0.65407,1.38163,0.000237665,0.000237665,0.000237665
50,10173.4,1.08391,0.59265,1.2641,0.8799,0.8307,0.89417,0.55819,1.20779,0.64204,1.36951,0.000212846,0.000212846,0.000212846
51,10374.5,1.07925,0.5833,1.25767,0.88947,0.8378,0.89713,0.55743,1.20806,0.63171,1.37727,0.000188026,0.000188026,0.000188026
52,10574.6,1.0689,0.56826,1.24951,0.87909,0.84109,0.89676,0.56315,1.20183,0.62702,1.37365,0.000163207,0.000163207,0.000163207
53,10775.4,1.05594,0.55578,1.24098,0.88611,0.84713,0.89788,0.56191,1.19965,0.62603,1.36757,0.000138387,0.000138387,0.000138387
54,10976.1,1.05095,0.55516,1.23662,0.88791,0.85061,0.9034,0.5674,1.19679,0.61842,1.36719,0.000113568,0.000113568,0.000113568
55,11176.5,1.04133,0.53787,1.22526,0.88835,0.85205,0.9027,0.56535,1.19904,0.61639,1.36611,8.87484e-05,8.87484e-05,8.87484e-05
56,11375.9,1.03034,0.53447,1.22073,0.89375,0.84364,0.89961,0.56455,1.19669,0.61812,1.36908,6.39289e-05,6.39289e-05,6.39289e-05
57,11575.7,1.02396,0.5293,1.21676,0.88844,0.84419,0.90024,0.56475,1.19868,0.61986,1.36943,3.91095e-05,3.91095e-05,3.91095e-05
